feature	id	template1	template2	CEBPA	CTCF	FOXA1	HNF1A	NR2F2	ONECUT1	PPARA	REST	XBP1
9	template1_class2_1ONECUT1_1REST	1	0	0	0	0	0	0	1	0	1	0
9	template1_class2_2ONECUT1_2REST	1	0	0	0	0	0	0	2	0	2	0
9	template1_class2_1ONECUT1_1XBP1	1	0	0	0	0	0	0	1	0	0	1
9	template1_class2_2ONECUT1_2XBP1	1	0	0	0	0	0	0	2	0	0	2
9	template1_class2_1PPARA_1CEBPA	1	0	1	0	0	0	0	0	1	0	0
9	template1_class2_2PPARA_2CEBPA	1	0	2	0	0	0	0	0	2	0	0
9	template1_class2_1PPARA_1CTCF	1	0	0	1	0	0	0	0	1	0	0
9	template1_class2_2PPARA_2CTCF	1	0	0	2	0	0	0	0	2	0	0
9	template1_class2_1PPARA_1FOXA1	1	0	0	0	1	0	0	0	1	0	0
9	template1_class2_2PPARA_2FOXA1	1	0	0	0	2	0	0	0	2	0	0
9	template1_class2_1PPARA_1HNF1A	1	0	0	0	0	1	0	0	1	0	0
9	template1_class2_2PPARA_2HNF1A	1	0	0	0	0	2	0	0	2	0	0
9	template1_class2_1PPARA_1NR2F2	1	0	0	0	0	0	1	0	1	0	0
9	template1_class2_2PPARA_2NR2F2	1	0	0	0	0	0	2	0	2	0	0
9	template1_class2_1PPARA_1ONECUT1	1	0	0	0	0	0	0	1	1	0	0
9	template1_class2_2PPARA_2ONECUT1	1	0	0	0	0	0	0	2	2	0	0
9	template1_class2_1PPARA_1REST	1	0	0	0	0	0	0	0	1	1	0
9	template1_class2_2PPARA_2REST	1	0	0	0	0	0	0	0	2	2	0
9	template1_class2_1PPARA_1XBP1	1	0	0	0	0	0	0	0	1	0	1
9	template1_class2_2PPARA_2XBP1	1	0	0	0	0	0	0	0	2	0	2
9	template1_class2_1REST_1CEBPA	1	0	1	0	0	0	0	0	0	1	0
9	template1_class2_2REST_2CEBPA	1	0	2	0	0	0	0	0	0	2	0
9	template1_class2_1REST_1CTCF	1	0	0	1	0	0	0	0	0	1	0
9	template1_class2_2REST_2CTCF	1	0	0	2	0	0	0	0	0	2	0
9	template1_class2_1REST_1FOXA1	1	0	0	0	1	0	0	0	0	1	0
9	template1_class2_2REST_2FOXA1	1	0	0	0	2	0	0	0	0	2	0
9	template1_class2_1REST_1HNF1A	1	0	0	0	0	1	0	0	0	1	0
9	template1_class2_2REST_2HNF1A	1	0	0	0	0	2	0	0	0	2	0
9	template1_class2_1REST_1NR2F2	1	0	0	0	0	0	1	0	0	1	0
9	template1_class2_2REST_2NR2F2	1	0	0	0	0	0	2	0	0	2	0
9	template1_class2_1REST_1ONECUT1	1	0	0	0	0	0	0	1	0	1	0
9	template1_class2_2REST_2ONECUT1	1	0	0	0	0	0	0	2	0	2	0
9	template1_class2_1REST_1PPARA	1	0	0	0	0	0	0	0	1	1	0
9	template1_class2_2REST_2PPARA	1	0	0	0	0	0	0	0	2	2	0
9	template1_class2_1REST_1XBP1	1	0	0	0	0	0	0	0	0	1	1
9	template1_class2_2REST_2XBP1	1	0	0	0	0	0	0	0	0	2	2
9	template1_class2_1XBP1_1CEBPA	1	0	1	0	0	0	0	0	0	0	1
9	template1_class2_2XBP1_2CEBPA	1	0	2	0	0	0	0	0	0	0	2
9	template1_class2_1XBP1_1CTCF	1	0	0	1	0	0	0	0	0	0	1
9	template1_class2_2XBP1_2CTCF	1	0	0	2	0	0	0	0	0	0	2
9	template1_class2_1XBP1_1FOXA1	1	0	0	0	1	0	0	0	0	0	1
9	template1_class2_2XBP1_2FOXA1	1	0	0	0	2	0	0	0	0	0	2
9	template1_class2_1XBP1_1HNF1A	1	0	0	0	0	1	0	0	0	0	1
9	template1_class2_2XBP1_2HNF1A	1	0	0	0	0	2	0	0	0	0	2
9	template1_class2_1XBP1_1NR2F2	1	0	0	0	0	0	1	0	0	0	1
9	template1_class2_2XBP1_2NR2F2	1	0	0	0	0	0	2	0	0	0	2
9	template1_class2_1XBP1_1ONECUT1	1	0	0	0	0	0	0	1	0	0	1
9	template1_class2_2XBP1_2ONECUT1	1	0	0	0	0	0	0	2	0	0	2
9	template1_class2_1XBP1_1PPARA	1	0	0	0	0	0	0	0	1	0	1
9	template1_class2_2XBP1_2PPARA	1	0	0	0	0	0	0	0	2	0	2
9	template1_class2_1XBP1_1REST	1	0	0	0	0	0	0	0	0	1	1
9	template1_class2_2XBP1_2REST	1	0	0	0	0	0	0	0	0	2	2
11	template1_class3_CEBPA_CTCF_FOXA1_HNF1A	1	0	1	1	1	1	0	0	0	0	0
11	template1_class3_CEBPA_CTCF_FOXA1_NR2F2	1	0	1	1	1	0	1	0	0	0	0
11	template1_class3_CEBPA_CTCF_FOXA1_ONECUT1	1	0	1	1	1	0	0	1	0	0	0
11	template1_class3_CEBPA_CTCF_FOXA1_PPARA	1	0	1	1	1	0	0	0	1	0	0
11	template1_class3_CEBPA_CTCF_FOXA1_REST	1	0	1	1	1	0	0	0	0	1	0
11	template1_class3_CEBPA_CTCF_FOXA1_XBP1	1	0	1	1	1	0	0	0	0	0	1
11	template1_class3_CEBPA_CTCF_HNF1A_FOXA1	1	0	1	1	1	1	0	0	0	0	0
11	template1_class3_CEBPA_CTCF_HNF1A_NR2F2	1	0	1	1	0	1	1	0	0	0	0
11	template1_class3_CEBPA_CTCF_HNF1A_ONECUT1	1	0	1	1	0	1	0	1	0	0	0
11	template1_class3_CEBPA_CTCF_HNF1A_PPARA	1	0	1	1	0	1	0	0	1	0	0
11	template1_class3_CEBPA_CTCF_HNF1A_REST	1	0	1	1	0	1	0	0	0	1	0
11	template1_class3_CEBPA_CTCF_HNF1A_XBP1	1	0	1	1	0	1	0	0	0	0	1
11	template1_class3_CEBPA_CTCF_NR2F2_FOXA1	1	0	1	1	1	0	1	0	0	0	0
