id	replicate	gDNA	ATAC	H3K27ac
template1_class2_2HNF1A_2PPARA	1	787	48	64
template1_class2_1HNF1A_1REST	1	627	20	39
template1_class2_2HNF1A_2REST	1	751	165	0
template1_class2_1HNF1A_1XBP1	1	504	52	44
template1_class2_2HNF1A_2XBP1	1	1526	213	154
template1_class2_1NR2F2_1CEBPA	1	615	93	59
template1_class2_2NR2F2_2CEBPA	1	0	0	0
template1_class2_1NR2F2_1CTCF	1	541	19	27
template1_class2_2NR2F2_2CTCF	1	623	26	20
template1_class2_1NR2F2_1FOXA1	1	502	47	41
template1_class2_2NR2F2_2FOXA1	1	0	0	0
template1_class2_1NR2F2_1HNF1A	1	186	0	6
template1_class2_2NR2F2_2HNF1A	1	0	5	0
template1_class2_1NR2F2_1ONECUT1	1	8	8	13
template1_class2_2NR2F2_2ONECUT1	1	0	0	0
template1_class2_1NR2F2_1PPARA	1	360	48	27
template1_class2_2NR2F2_2PPARA	1	1038	30	5
template1_class2_1NR2F2_1REST	1	367	34	9
template1_class2_2NR2F2_2REST	1	0	3	2
template1_class2_1NR2F2_1XBP1	1	265	10	3
template1_class2_2NR2F2_2XBP1	1	0	1	1
template1_class2_1ONECUT1_1CEBPA	1	435	24	20
template1_class2_2ONECUT1_2CEBPA	1	505	32	19
template1_class2_1ONECUT1_1CTCF	1	238	13	2
template1_class2_2ONECUT1_2CTCF	1	467	114	39
template1_class2_1ONECUT1_1FOXA1	1	845	69	116
template1_class2_2ONECUT1_2FOXA1	1	523	85	50
template1_class2_1ONECUT1_1HNF1A	1	301	40	4
template1_class2_2ONECUT1_2HNF1A	1	948	193	49
template1_class2_1ONECUT1_1NR2F2	1	0	0	3
template1_class2_2ONECUT1_2NR2F2	1	0	0	0
template1_class2_1ONECUT1_1PPARA	1	517	29	13
template1_class2_2ONECUT1_2PPARA	1	1203	147	69
template1_class2_1ONECUT1_1REST	1	572	50	0
template1_class2_2ONECUT1_2REST	1	428	36	19
template1_class2_1ONECUT1_1XBP1	1	809	28	86
template1_class2_2ONECUT1_2XBP1	1	1117	79	103
template1_class2_1PPARA_1CEBPA	1	279	5	12
template1_class2_2PPARA_2CEBPA	1	467	26	28
template1_class2_1PPARA_1CTCF	1	190	17	14
template1_class2_2PPARA_2CTCF	1	355	6	31
template1_class2_1PPARA_1FOXA1	1	692	63	27
template1_class2_2PPARA_2FOXA1	1	744	60	34
template1_class2_1PPARA_1HNF1A	1	675	67	55
template1_class2_2PPARA_2HNF1A	1	608	61	64
template1_class2_1PPARA_1NR2F2	1	1	14	11
template1_class2_2PPARA_2NR2F2	1	2	0	2
template1_class2_1PPARA_1ONECUT1	1	184	17	17
template1_class2_2PPARA_2ONECUT1	1	358	14	20
template1_class2_1PPARA_1REST	1	544	9	4
template1_class2_2PPARA_2REST	1	337	5	0
template1_class2_1PPARA_1XBP1	1	1222	46	72
template1_class2_2PPARA_2XBP1	1	365	32	20
template1_class2_1REST_1CEBPA	1	531	39	29
